Entrez.Gene,Symbol,metaZscore,metaPval,effect,Pval.adj,Bonferroni,maxFC,avgFC,BraakR,atrophyR
283212,KLHL35,-5.513376488,3.52E-08,--?---,5.35E-07,0.000828289,0.78,0.89,-0.6348,-0.563
51256,TBC1D7,-5.51327591,3.52E-08,------,5.35E-07,0.000828763,0.39,0.75,-0.6189,-0.4916
2182,ACSL4,-5.513037062,3.53E-08,--?---,5.36E-07,0.000829889,0.75,0.83,-0.6065,-0.5061
8382,NME5,-5.513006719,3.53E-08,------,5.36E-07,0.000830032,0.69,0.81,-0.6432,-0.5087
155038,GIMAP8,5.512239715,3.54E-08,++?+++,5.37E-07,0.000833658,1.41,1.20,,0.5133
5422,POLA1,5.511069284,3.57E-08,++?++-,5.40E-07,0.000839222,1.19,1.09,0.684,0.5547
91966,CXorf40A,-5.51106467,3.57E-08,??---?,5.40E-07,0.000839244,0.80,0.87,-0.6758,-0.5044
8050,PDHX,-5.510666723,3.57E-08,------,5.41E-07,0.000841143,0.64,0.83,-0.6137,-0.47
4499,MT1M,5.509603989,3.60E-08,++?+++,5.44E-07,0.000846237,4.35,1.71,0.6653,0.5332
1491,CTH,-5.506628734,3.66E-08,------,5.53E-07,0.000860658,0.81,0.85,,
23621,BACE1,-5.506546141,3.66E-08,--?---,5.53E-07,0.000861062,0.64,0.83,,
